Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.6892,34.2,6.81E-01
A2,H221,Unknown,0.6892,34.55,5.48E-01
A3,H221,Unknown,0.6892,35.16,3.73E-01
B1,H239,Unknown,0.6892,35.26,3.49E-01
B2,H239,Unknown,0.6892,35.44,3.13E-01
B3,H239,Unknown,0.6892,36,2.20E-01
C1,H241,Unknown,0.6892,36.31,1.81E-01
C2,H241,Unknown,0.6892,35.85,2.42E-01
C3,H241,Unknown,0.6892,35.8,2.49E-01
D1,H249 1,Unknown,0.6892,35.39,3.23E-01
D2,H249 1,Unknown,0.6892,35.35,3.31E-01
D3,H249 1,Unknown,0.6892,36.01,2.19E-01
E1,H250 1,Unknown,0.6892,35.32,3.37E-01
E2,H250 1,Unknown,0.6892,34.97,4.19E-01
E3,H250 1,Unknown,0.6892,35.29,3.44E-01
F1,H256 a,Unknown,0.6892,35.35,3.31E-01
F2,H256 a,Unknown,0.6892,35.1,3.86E-01
F3,H256 a,Unknown,0.6892,35.07,3.94E-01
G1,H395,Unknown,0.6892,33.63,9.78E-01
G2,H395,Unknown,0.6892,33.14,1.33
G3,H395,Unknown,0.6892,32.98,1.47
H1,H406,Unknown,0.6892,33.3,1.2
H2,H406,Unknown,0.6892,33.54,1.04
H3,H406,Unknown,0.6892,33.64,9.71E-01
A4,H251 2,Unknown,0.6892,35.08,3.91E-01
A5,H251 2,Unknown,0.6892,35.43,3.13E-01
A6,H251 2,Unknown,0.6892,35.53,2.95E-01
B4,H400,Unknown,0.6892,31.65,3.39
B5,H400,Unknown,0.6892,32.13,2.52
B6,H400,Unknown,0.6892,32.65,1.8
C4,H404,Unknown,0.6892,33.79,8.81E-01
C5,H404,Unknown,0.6892,34.15,7.05E-01
C6,H404,Unknown,0.6892,34.55,5.49E-01
D4,H411,Unknown,0.6892,34.17,6.97E-01
D5,H411,Unknown,0.6892,34.29,6.43E-01
D6,H411,Unknown,0.6892,34.91,4.35E-01
E4,H420,Unknown,0.6892,29.39,1.41E+01
E5,H420,Unknown,0.6892,29.75,1.13E+01
E6,H420,Unknown,0.6892,30.25,8.19
F4,H425,Unknown,0.6892,36.23,1.90E-01
F5,H425,Unknown,0.6892,36.41,1.69E-01
F6,H425,Unknown,0.6892,37.04,1.14E-01
G4,H427,Unknown,0.6892,35.26,3.50E-01
G5,H427,Unknown,0.6892,34.94,4.29E-01
G6,H427,Unknown,0.6892,34.86,4.49E-01
H4,H434,Unknown,0.6892,34.84,4.55E-01
H5,H434,Unknown,0.6892,34.87,4.48E-01
H6,H434,Unknown,0.6892,35.24,3.54E-01
A7,Total cDNA ,Standard,0.6892,33.7,0.00E+00
A8,Total cDNA ,Standard,0.6892,33.7,0.00E+00
A9,Total cDNA ,Standard,0.6892,34.02,0.00E+00
A10,Mir-143 REF,Unknown,0.6892,26.09,1.12E+02
A11,RNU24 REF,Unknown,0.6892,29.43,1.37E+01
A12,RNU 24 Plade Normalisator,Unknown,0.6892,30.24,8.23
B7,Total cDNA ,Standard,0.6892,34.75,5.00E-01
B8,Total cDNA ,Standard,0.6892,34.71,5.00E-01
B9,Total cDNA ,Standard,0.6892,34.86,5.00E-01
B10,Mir-143 REF,Unknown,0.6892,25.83,1.32E+02
B11,RNU24 REF,Unknown,0.6892,29.32,1.48E+01
B12,RNU 24 Plade Normalisator,Unknown,0.6892,30.1,9
C7,Total cDNA ,Standard,0.6892,35.85,2.50E-01
C8,Total cDNA ,Standard,0.6892,35.38,2.50E-01
C9,Total cDNA ,Standard,0.6892,35.64,2.50E-01
C10,Mir-143 REF,Unknown,0.6892,25.68,1.46E+02
C11,RNU24 REF,Unknown,0.6892,29.3,1.49E+01
C12,RNU 24 Plade Normalisator,Unknown,0.6892,29.98,9.74
D7,Total cDNA ,Standard,0.6892,36.95,1.25E-01
D8,Total cDNA ,Standard,0.6892,36.68,1.25E-01
D9,Total cDNA ,Standard,0.6892,37.09,1.25E-01
D10,Mir-143 REF,No RT,0.6892,No Ct,No Ct
D11,RNU24 REF,No RT,0.6892,No Ct,No Ct
D12,---,Not in Use,0.6892,,8.15E+08
E7,Total cDNA ,Standard,0.6892,37.38,6.25E-02
E8,Total cDNA ,Standard,0.6892,37.96,6.25E-02
E9,Total cDNA ,Standard,0.6892,37.32,6.25E-02
E10,Mir-143 REF,NTC,0.6892,No Ct,No Ct
E11,RNU24 REF,NTC,0.6892,No Ct,No Ct
E12,---,Not in Use,0.6892,,8.15E+08
F7,Total cDNA ,Standard,0.6892,38.91,3.13E-02
F8,Total cDNA ,Standard,0.6892,38.83,3.13E-02
F9,Total cDNA ,Standard,0.6892,39.12,3.13E-02
F10,---,Not in Use,0.6892,,8.15E+08
F11,---,Not in Use,0.6892,,8.15E+08
F12,---,Not in Use,0.6892,,8.15E+08
G7,Total cDNA ,Standard,0.6892,39.47,1.57E-02
G8,Total cDNA ,Standard,0.6892,38.65,1.57E-02
G9,Total cDNA ,Standard,0.6892,43.83,1.57E-02
G10,---,Not in Use,0.6892,,8.15E+08
G11,---,Not in Use,0.6892,,8.15E+08
G12,---,Not in Use,0.6892,,8.15E+08
H7,---,Not in Use,0.6892,,8.15E+08
H8,---,Not in Use,0.6892,,8.15E+08
H9,---,Not in Use,0.6892,,8.15E+08
H10,---,Not in Use,0.6892,,8.15E+08
H11,---,Not in Use,0.6892,,8.15E+08
H12,---,Not in Use,0.6892,,8.15E+08
