cellLine	wellName	wellType	threshold	Cq	copyNumber	geneName	plate.number	sampleType	replicate	geneType	l2con
AMO-1	A1	standard	0,04	16,25	1,00E+00	GAPDH	1	high	1	reference	0,00E+00
AMO-1	A2	standard	0,04	16,26	1,00E+00	GAPDH	1	high	2	reference	0,00E+00
AMO-1	A3	standard	0,04	16,5	1,00E+00	GAPDH	1	high	3	reference	0,00E+00
AMO-1	B1	standard	0,04	17,73	5,00E-01	GAPDH	1	high	1	reference	1,00E+00
AMO-1	B2	standard	0,04	17,72	5,00E-01	GAPDH	1	high	2	reference	1,00E+00
AMO-1	B3	standard	0,04	17,8	5,00E-01	GAPDH	1	high	3	reference	1,00E+00
AMO-1	C1	standard	0,04	19,32	2,50E-01	GAPDH	1	high	1	reference	2,00E+00
AMO-1	C2	standard	0,04	19,28	2,50E-01	GAPDH	1	high	2	reference	2,00E+00
AMO-1	C3	standard	0,04	19,43	2,50E-01	GAPDH	1	high	3	reference	2,00E+00
AMO-1	D1	standard	0,04	19,96	1,25E-01	GAPDH	1	high	1	reference	3,00E+00
AMO-1	D2	standard	0,04	19,96	1,25E-01	GAPDH	1	high	2	reference	3,00E+00
AMO-1	D3	standard	0,04	20,04	1,25E-01	GAPDH	1	high	3	reference	3,00E+00
AMO-1	E1	standard	0,04	20,89	6,25E-02	GAPDH	1	high	1	reference	4,00E+00
AMO-1	E2	standard	0,04	20,74	6,25E-02	GAPDH	1	high	2	reference	4,00E+00
AMO-1	E3	standard	0,04	20,92	6,25E-02	GAPDH	1	high	3	reference	4,00E+00
AMO-1	F1	standard	0,04	22,02	3,13E-02	GAPDH	1	high	1	reference	5,00E+00
AMO-1	F2	standard	0,04	22,09	3,13E-02	GAPDH	1	high	2	reference	5,00E+00
AMO-1	F3	standard	0,04	21,98	3,13E-02	GAPDH	1	high	3	reference	5,00E+00
AMO-1	G1	standard	0,04	22,85	1,57E-02	GAPDH	1	high	1	reference	5,99E+00
AMO-1	G2	standard	0,04	22,97	1,57E-02	GAPDH	1	high	2	reference	5,99E+00
AMO-1	G3	standard	0,04	22,82	1,57E-02	GAPDH	1	high	3	reference	5,99E+00
AMO-1	A4	standard	0,0528	24,62	1,00E+00	ACTB	1	high	1	reference	0,00E+00
AMO-1	A5	standard	0,0528	24,47	1,00E+00	ACTB	1	high	2	reference	0,00E+00
AMO-1	A6	standard	0,0528	24,93	1,00E+00	ACTB	1	high	3	reference	0,00E+00
AMO-1	B4	standard	0,0528	25,44	5,00E-01	ACTB	1	high	1	reference	1,00E+00
AMO-1	B5	standard	0,0528	25,43	5,00E-01	ACTB	1	high	2	reference	1,00E+00
AMO-1	B6	standard	0,0528	25,56	5,00E-01	ACTB	1	high	3	reference	1,00E+00
AMO-1	C4	standard	0,0528	27,17	2,50E-01	ACTB	1	high	1	reference	2,00E+00
AMO-1	C5	standard	0,0528	27,33	2,50E-01	ACTB	1	high	2	reference	2,00E+00
AMO-1	C6	standard	0,0528	27,61	2,50E-01	ACTB	1	high	3	reference	2,00E+00
AMO-1	D4	standard	0,0528	27,91	1,25E-01	ACTB	1	high	1	reference	3,00E+00
AMO-1	D5	standard	0,0528	28,11	1,25E-01	ACTB	1	high	2	reference	3,00E+00
AMO-1	D6	standard	0,0528	27,96	1,25E-01	ACTB	1	high	3	reference	3,00E+00
AMO-1	E4	standard	0,0528	28,73	6,25E-02	ACTB	1	high	1	reference	4,00E+00
AMO-1	E5	standard	0,0528	28,84	6,25E-02	ACTB	1	high	2	reference	4,00E+00
AMO-1	E6	standard	0,0528	29,07	6,25E-02	ACTB	1	high	3	reference	4,00E+00
AMO-1	F4	standard	0,0528	30,09	3,13E-02	ACTB	1	high	1	reference	5,00E+00
AMO-1	F5	standard	0,0528	30,07	3,13E-02	ACTB	1	high	2	reference	5,00E+00
AMO-1	F6	standard	0,0528	29,94	3,13E-02	ACTB	1	high	3	reference	5,00E+00
AMO-1	G4	standard	0,0528	30,62	1,57E-02	ACTB	1	high	1	reference	5,99E+00
AMO-1	G5	standard	0,0528	30,73	1,57E-02	ACTB	1	high	2	reference	5,99E+00
AMO-1	G6	standard	0,0528	31,35	1,57E-02	ACTB	1	high	3	reference	5,99E+00
AMO-1	A1	standard	0,0881	24,51	1,00E+00	MGST1	2	high	1	target	0,00E+00
AMO-1	A2	standard	0,0881	24,5	1,00E+00	MGST1	2	high	2	target	0,00E+00
AMO-1	A3	standard	0,0881	24,78	1,00E+00	MGST1	2	high	3	target	0,00E+00
AMO-1	B1	standard	0,0881	25,63	5,00E-01	MGST1	2	high	1	target	1,00E+00
AMO-1	B2	standard	0,0881	25,84	5,00E-01	MGST1	2	high	2	target	1,00E+00
AMO-1	B3	standard	0,0881	25,81	5,00E-01	MGST1	2	high	3	target	1,00E+00
AMO-1	C1	standard	0,0881	26,61	2,50E-01	MGST1	2	high	1	target	2,00E+00
AMO-1	C2	standard	0,0881	26,67	2,50E-01	MGST1	2	high	2	target	2,00E+00
AMO-1	C3	standard	0,0881	26,75	2,50E-01	MGST1	2	high	3	target	2,00E+00
AMO-1	D1	standard	0,0881	27,56	1,25E-01	MGST1	2	high	1	target	3,00E+00
AMO-1	D2	standard	0,0881	27,55	1,25E-01	MGST1	2	high	2	target	3,00E+00
AMO-1	D3	standard	0,0881	27,42	1,25E-01	MGST1	2	high	3	target	3,00E+00
AMO-1	E1	standard	0,0881	28,69	6,25E-02	MGST1	2	high	1	target	4,00E+00
AMO-1	E2	standard	0,0881	28,59	6,25E-02	MGST1	2	high	2	target	4,00E+00
AMO-1	E3	standard	0,0881	28,32	6,25E-02	MGST1	2	high	3	target	4,00E+00
AMO-1	F1	standard	0,0881	29,66	3,13E-02	MGST1	2	high	1	target	5,00E+00
AMO-1	F2	standard	0,0881	29,56	3,13E-02	MGST1	2	high	2	target	5,00E+00
AMO-1	F3	standard	0,0881	29,55	3,13E-02	MGST1	2	high	3	target	5,00E+00
AMO-1	G1	standard	0,0881	30,47	1,57E-02	MGST1	2	high	1	target	5,99E+00
AMO-1	G2	standard	0,0881	30,2	1,57E-02	MGST1	2	high	2	target	5,99E+00
AMO-1	G3	standard	0,0881	30,78	1,57E-02	MGST1	2	high	3	target	5,99E+00
AMO-1	A4	standard	0,0712	25,88	1,00E+00	MMSET	2	high	1	target	0,00E+00
AMO-1	A5	standard	0,0712	25,98	1,00E+00	MMSET	2	high	2	target	0,00E+00
AMO-1	A6	standard	0,0712	26,1	1,00E+00	MMSET	2	high	3	target	0,00E+00
AMO-1	B4	standard	0,0712	26,94	5,00E-01	MMSET	2	high	1	target	1,00E+00
AMO-1	B5	standard	0,0712	26,88	5,00E-01	MMSET	2	high	2	target	1,00E+00
AMO-1	B6	standard	0,0712	27,27	5,00E-01	MMSET	2	high	3	target	1,00E+00
AMO-1	C4	standard	0,0712	27,41	2,50E-01	MMSET	2	high	1	target	2,00E+00
AMO-1	C5	standard	0,0712	27,69	2,50E-01	MMSET	2	high	2	target	2,00E+00
AMO-1	C6	standard	0,0712	27,79	2,50E-01	MMSET	2	high	3	target	2,00E+00
AMO-1	D4	standard	0,0712	28,51	1,25E-01	MMSET	2	high	1	target	3,00E+00
AMO-1	D5	standard	0,0712	28,54	1,25E-01	MMSET	2	high	2	target	3,00E+00
AMO-1	D6	standard	0,0712	28,83	1,25E-01	MMSET	2	high	3	target	3,00E+00
AMO-1	E4	standard	0,0712	29,94	6,25E-02	MMSET	2	high	1	target	4,00E+00
AMO-1	E5	standard	0,0712	29,77	6,25E-02	MMSET	2	high	2	target	4,00E+00
AMO-1	E6	standard	0,0712	29,5	6,25E-02	MMSET	2	high	3	target	4,00E+00
AMO-1	F4	standard	0,0712	30,71	3,13E-02	MMSET	2	high	1	target	5,00E+00
AMO-1	F5	standard	0,0712	30,63	3,13E-02	MMSET	2	high	2	target	5,00E+00
AMO-1	F6	standard	0,0712	30,6	3,13E-02	MMSET	2	high	3	target	5,00E+00
AMO-1	G4	standard	0,0712	32,03	1,57E-02	MMSET	2	high	1	target	5,99E+00
AMO-1	G5	standard	0,0712	32,28	1,57E-02	MMSET	2	high	2	target	5,99E+00
AMO-1	G6	standard	0,0712	31,44	1,57E-02	MMSET	2	high	3	target	5,99E+00
AMO-1	A1	sample	0,088	24,59	1,00E+00	MGST1	3	high	1	target	0,00E+00
AMO-1	A2	sample	0,088	24,71	1,00E+00	MGST1	3	high	2	target	0,00E+00
AMO-1	A3	sample	0,088	24,52	1,00E+00	MGST1	3	high	3	target	0,00E+00
KMM-1	D1	sample	0,088	23,7	1,00E+00	MGST1	3	high	1	target	0,00E+00
KMM-1	D2	sample	0,088	23,79	1,00E+00	MGST1	3	high	2	target	0,00E+00
KMM-1	D3	sample	0,088	23,6	1,00E+00	MGST1	3	high	3	target	0,00E+00
KMS-11	E1	sample	0,088	24,24	1,00E+00	MGST1	3	high	1	target	0,00E+00
KMS-11	E2	sample	0,088	24,35	1,00E+00	MGST1	3	high	2	target	0,00E+00
KMS-11	E3	sample	0,088	24,49	1,00E+00	MGST1	3	high	3	target	0,00E+00
KMS-12-BM	F1	sample	0,088	25,74	1,00E+00	MGST1	3	high	1	target	0,00E+00
KMS-12-BM	F2	sample	0,088	25,79	1,00E+00	MGST1	3	high	2	target	0,00E+00
KMS-12-BM	F3	sample	0,088	25,8	1,00E+00	MGST1	3	high	3	target	0,00E+00
KMS-12-PE	G1	sample	0,088	22,79	1,00E+00	MGST1	3	high	1	target	0,00E+00
KMS-12-PE	G2	sample	0,088	22,88	1,00E+00	MGST1	3	high	2	target	0,00E+00
